authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
Y,C_ID_415bb3a509,107,N,1,B,307,M_ID_b0c793002c,1,-0.55757375,2018-03-11 14:57:36,1.0,9,19
Y,C_ID_415bb3a509,140,N,1,B,307,M_ID_88920c89e8,1,-0.56957993,2018-03-19 18:53:37,1.0,9,19
Y,C_ID_415bb3a509,330,N,1,B,507,M_ID_ad5237ef6b,2,-0.55103721,2018-04-26 14:08:44,1.0,9,14
Y,C_ID_415bb3a509,-1,Y,1,B,661,M_ID_9e84cda3b1,1,-0.6719255,2018-03-07 09:43:21,,-1,8
Y,C_ID_ef55cf8d4b,-1,Y,1,B,166,M_ID_3c86fa3831,1,-0.65990429,2018-03-22 21:07:53,,-1,29
Y,C_ID_ef55cf8d4b,231,N,1,B,367,M_ID_8874615e00,2,-0.63300684,2018-04-02 12:53:28,1.0,9,16
Y,C_ID_ef55cf8d4b,69,N,1,B,333,M_ID_6d061b5ddc,1,5.26369692,2018-03-28 19:50:19,1.0,9,10
Y,C_ID_ef55cf8d4b,231,N,1,B,307,M_ID_df1e022f41,2,-0.55378707,2018-04-05 08:06:52,1.0,9,19
Y,C_ID_ef55cf8d4b,69,N,1,B,278,M_ID_d15eae0468,2,-0.59664268,2018-04-07 18:37:40,1.0,9,37
Y,C_ID_ef55cf8d4b,69,N,1,B,437,M_ID_5f9bffd028,1,-0.60719129,2018-03-17 18:10:41,1.0,9,15
Y,C_ID_ef55cf8d4b,69,N,-1,,45,M_ID_3ffd43b4cd,1,4.45226529,2018-03-31 09:55:40,1.0,9,18
Y,C_ID_ef55cf8d4b,69,N,1,B,108,M_ID_e6f5213fbf,1,-0.60595911,2018-03-11 12:53:41,1.0,9,34
Y,C_ID_ef55cf8d4b,69,N,1,B,278,M_ID_aa97bc87f6,1,-0.63420896,2018-03-14 14:07:43,1.0,9,37
Y,C_ID_ef55cf8d4b,69,N,1,B,157,M_ID_28fbc8c74d,2,-0.49205816,2018-04-14 09:27:45,1.0,9,29
Y,C_ID_ef55cf8d4b,-1,Y,1,B,302,M_ID_b9f9332438,1,-0.66553923,2018-03-23 21:35:53,,-1,22
Y,C_ID_ef55cf8d4b,231,N,1,B,80,M_ID_ad15049b64,2,-0.64624519,2018-04-18 12:41:48,1.0,9,37
Y,C_ID_ef55cf8d4b,69,N,1,B,307,M_ID_51757498fd,1,-0.67177524,2018-03-11 12:38:56,1.0,9,19
Y,C_ID_ef55cf8d4b,69,N,1,B,560,M_ID_a1183a4e5e,2,-0.69022779,2018-04-22 15:00:27,1.0,9,34
Y,C_ID_ef55cf8d4b,231,N,3,C,333,M_ID_f74d9cbbd0,1,0.75137067,2018-03-01 14:26:52,1.0,9,10
Y,C_ID_ef55cf8d4b,231,N,1,B,369,M_ID_f0bf60c061,1,-0.34329569,2018-03-22 09:57:23,1.0,9,27
Y,C_ID_ef55cf8d4b,231,N,1,B,278,M_ID_2ae6547567,1,-0.65488544,2018-03-20 10:37:33,1.0,9,37
Y,C_ID_ef55cf8d4b,-1,Y,3,C,491,M_ID_79692349d6,1,3.00972015,2018-03-30 20:05:54,,-1,3
Y,C_ID_ef55cf8d4b,231,N,1,B,360,M_ID_532b2abc39,2,-0.43225264,2018-04-06 13:28:22,1.0,9,34
Y,C_ID_ef55cf8d4b,69,N,2,C,87,M_ID_99c89d936e,1,-0.35772114,2018-03-24 14:58:30,1.0,9,27
Y,C_ID_ef55cf8d4b,-1,Y,12,C,690,M_ID_3111c6df35,1,2.12614623,2018-03-03 11:40:58,,-1,1
Y,C_ID_ef55cf8d4b,69,N,1,B,195,M_ID_7fc4685211,1,-0.70483356,2018-03-17 12:32:31,1.0,9,34
Y,C_ID_241a01e9d9,69,N,3,C,884,M_ID_7c26306ee3,2,-0.4617046,2018-04-22 19:19:08,1.0,9,27
Y,C_ID_241a01e9d9,188,N,6,C,690,M_ID_7c7d14fd19,2,-0.29476006,2018-04-22 19:34:11,1.0,9,1
Y,C_ID_a97720321f,69,N,0,A,419,M_ID_7064a8aa68,1,-0.20237706,2018-03-02 12:06:23,1.0,9,1
Y,C_ID_a97720321f,69,N,0,A,705,M_ID_1f4773aa76,1,0.75574338,2018-03-03 12:14:58,1.0,9,33
Y,C_ID_a97720321f,69,N,0,A,422,M_ID_d92a9746f1,1,-0.59679294,2018-03-01 16:28:05,1.0,9,27
Y,C_ID_a97720321f,69,N,0,A,879,M_ID_00a6ca8a8a,2,-0.52151012,2018-04-13 18:45:08,1.0,9,29
